protein_id	protein_name	copy_number
BHFGHA_00575	Uncharacterized protein YnbB	1
BHFGHA_00580	Uncharacterized protein YnbC	1
BHFGHA_00585	Uncharacterized protein YnbD	1
BHFGHA_00590	FMN-dependent NADH-azoreductase	1
BHFGHA_00595	ATP-dependent RNA helicase HrpA	1
BHFGHA_00600	Protein YdcF	1
BHFGHA_00605	aldehyde dehydrogenase	1
BHFGHA_00610	type I glyceraldehyde-3-phosphate dehydrogenase	1
BHFGHA_00615	cytochrome b561	1
BHFGHA_00625	Uncharacterized protein YdcA	1
BHFGHA_00630	Regulatory peptide	1
BHFGHA_00640	cytochrome b561	1
BHFGHA_00645	Methyl-accepting chemotaxis protein (MCP)	1
BHFGHA_00650	Uncharacterized HTH-type transcriptional regulator YdcI	1
BHFGHA_00655	2-oxoadipate dioxygenase/decarboxylase	1
BHFGHA_00660	glucan biosynthesis protein OpgD	1
BHFGHA_00665	Uncharacterized protein YdcH	1
BHFGHA_00670	50S ribosomal protein L7/L12-serine acetyltransferase	1
BHFGHA_00675	YdcK family protein	1
BHFGHA_00680	dicarboxylate transporter/tellurite-resistance protein TehA	1
BHFGHA_00685	tellurite resistance methyltransferase TehB	1
BHFGHA_00690	Uncharacterized lipoprotein YdcL	1
BHFGHA_00695	BenE family transporter YdcO	1
BHFGHA_00700	DNA-binding transcriptional regulator SutR	1
BHFGHA_00705	23S rRNA 5-hydroxycytidine C2501 synthase	1
BHFGHA_00710	Uncharacterized protein YncJ	1
BHFGHA_00715	Uncharacterized HTH-type transcriptional regulator YdcR	1
BHFGHA_00720	putative ABC transporter substrate-binding protein YdcS	1
BHFGHA_00725	Uncharacterized ABC transporter ATP-binding protein YdcT	1
BHFGHA_00730	ABC-type spermidine/putrescine transport system, permease component I	1
BHFGHA_00735	Inner membrane ABC transporter permease protein YdcV	1
BHFGHA_00740	aminobutyraldehyde dehydrogenase	1
BHFGHA_00745	orphan toxin OrtT	1
BHFGHA_00750	Uncharacterized protein YdcY	1
BHFGHA_00755	DUF606 domain-containing protein	1
BHFGHA_00760	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	1
BHFGHA_00765	GntR family transcriptional regulator	1
BHFGHA_00770	TonB-dependent receptor PqqU	1
BHFGHA_00775	Uncharacterized protein YncE	1
BHFGHA_00780	L-asparagine permease	1
BHFGHA_00785	Glutathione S-transferase	1
BHFGHA_00790	Glutathione S-transferase	1
BHFGHA_00795	PAAR repeat-containing protein	1
BHFGHA_00800	Vgr-like protein	1
BHFGHA_00805	DUF2169 domain-containing protein	1
BHFGHA_00810	DUF4150 domain-containing protein	1
BHFGHA_00815	DUF4279 domain-containing protein	1
BHFGHA_00820	IS630 family transposase	1
BHFGHA_00825	ISAs1 family transposase	1
BHFGHA_00830	Gp5/Type VI secretion system Vgr protein OB-fold domain-containing protein	1
BHFGHA_00835	Lysine-specific metallo-endopeptidase domain-containing protein	1
BHFGHA_00840	Lipoprotein	1
BHFGHA_00845	Acetyltransferase	1
BHFGHA_00850	Uncharacterized protein YddH	1
BHFGHA_00855	N-hydroxyarylamine O-acetyltransferase	1
BHFGHA_00860	PhzF family isomerase	1
BHFGHA_00865	respiratory nitrate reductase subunit gamma	1
BHFGHA_00870	nitrate reductase molybdenum cofactor assembly chaperone	1
BHFGHA_00875	nitrate reductase subunit beta	1
BHFGHA_00880	nitrate reductase Z subunit alpha	1
BHFGHA_00885	nitrate/nitrite transporter NarU	1
BHFGHA_00890	aromatic amino acid efflux DMT transporter YddG	1
BHFGHA_00895	formate dehydrogenase-N subunit alpha	1
BHFGHA_00900	formate dehydrogenase N subunit beta	1
BHFGHA_00905	formate dehydrogenase-N subunit gamma	1
BHFGHA_00910	HigA family addiction module antitoxin	1
BHFGHA_00915	Killer protein	1
BHFGHA_00920	hypothetical protein	1
BHFGHA_00925	alcohol dehydrogenase AdhP	1
BHFGHA_00930	malate dehydrogenase	1
BHFGHA_00935	stationary-phase-induced ribosome-associated protein	1
BHFGHA_00940	biofilm-dependent modulation protein	1
BHFGHA_00945	peroxiredoxin OsmC	1
BHFGHA_00950	oxygen-sensing cyclic-di-GMP phosphodiesterase DosP	1
BHFGHA_00955	Glycosyl hydrolase DigH	1
BHFGHA_00960	acid resistance gamma-aminobutyrate antiporter GadC	1
BHFGHA_00965	glutamate decarboxylase	1
BHFGHA_00970	putative zinc protease PqqL	1
BHFGHA_00975	anaerobic sulfatase maturase	1
BHFGHA_00980	Uncharacterized sulfatase YdeN	1
BHFGHA_00985	acid stress response transcriptional regulator YdeO	1
BHFGHA_00990	Two-component-system connector protein SafA	1
BHFGHA_00995	acid resistance putative oxidoreductase YdeP	1
BHFGHA_01000	Uncharacterized fimbrial-like protein YdeQ	1
BHFGHA_01005	Uncharacterized fimbrial-like protein YdeR	1
BHFGHA_01010	Pilin (type 1 fimbrial protein)	1
BHFGHA_01015	type 1 fimbrial major subunit FimA	1
BHFGHA_01020	fimbria/pilus periplasmic chaperone	1
BHFGHA_01025	Fimbria/pilus periplasmic chaperone	1
BHFGHA_01030	type 1 fimbrial major subunit FimA	1
BHFGHA_01035	Transcriptional regulator	1
BHFGHA_01040	hypothetical protein	1
BHFGHA_01045	type II toxin-antitoxin system antitoxin HipB	1
BHFGHA_01050	Voltage-dependent anion channel-forming protein YneE	1
BHFGHA_01055	tagaturonate reductase	1
BHFGHA_01060	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	1
BHFGHA_01065	Uncharacterized protein YneG	1
BHFGHA_01070	glutaminase B	1
BHFGHA_01075	succinate-semialdehyde dehydrogenase	1
BHFGHA_01080	Uncharacterized HTH-type transcriptional regulator YneJ	1
BHFGHA_01085	hypothetical protein	1
BHFGHA_01090	L-arabinose MFS transporter	1
BHFGHA_01095	NAAT family transporter MarC	1
BHFGHA_01100	multiple antibiotic resistance transcriptional regulator MarR	1
BHFGHA_01105	MDR efflux pump AcrAB transcriptional activator MarA	1
BHFGHA_01110	multiple antibiotic resistance protein MarB	1
BHFGHA_01115	6-phospho-beta-glucosidase	1
BHFGHA_01120	Carbohydrate porin	1
BHFGHA_01125	N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIA component	1
BHFGHA_01130	Permease IIC component	1
BHFGHA_01135	Cellobiose-specific phosphotransferase enzyme IIB component	1
BHFGHA_01140	GntR family transcriptional regulator	1
BHFGHA_01145	O-acetylserine/cysteine exporter	1
BHFGHA_01150	efflux MFS transporter YdeE	1
BHFGHA_01155	protein MgtS	1
BHFGHA_01165	IS200/IS605-like element IS200C family transposase	1
BHFGHA_01170	Invasin	1
BHFGHA_01185	diguanylate cyclase DgcZ	1
BHFGHA_01190	peptidyl-dipeptidase Dcp	1
BHFGHA_01195	bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG	1
BHFGHA_01200	DNA-binding transcriptional regulator YdfH	1
BHFGHA_01205	Putative selenoprotein YdfZ	1
BHFGHA_01210	Uncharacterized oxidoreductase YdfI	1
BHFGHA_01215	MHS family MFS transporter YdfJ	1
BHFGHA_01220	Zn-dependent oxidoreductase	1
BHFGHA_01225	starvation-sensing protein RspA	1
BHFGHA_01230	YnfA family protein	1
BHFGHA_01235	DUF1283 domain-containing protein	1
BHFGHA_01240	spermidine N1-acetyltransferase	1
BHFGHA_01245	YnfC family lipoprotein	1
BHFGHA_01250	Uncharacterized protein YnfD	1
BHFGHA_01255	selenate/tellurate reductase subunit YnfE	1
BHFGHA_01260	selenate/tellurate reductase subunit YnfF	1
BHFGHA_01265	DMSO/selenate family reductase complex B subunit	1
BHFGHA_01270	Anaerobic dimethyl sulfoxide reductase chain YnfH	1
BHFGHA_01275	Tat proofreading chaperone DmsD	1
BHFGHA_01280	voltage-gated ClC-type chloride channel ClcB	1
BHFGHA_01285	dethiobiotin synthase	1
BHFGHA_01290	DNA-binding transcriptional repressor Mlc	1
BHFGHA_01295	Uncharacterized HTH-type transcriptional regulator YnfL	1
BHFGHA_01300	putative arabinose efflux permease AraJ, MFS family	1
BHFGHA_01305	acid resistance repetitive basic protein Asr	1
BHFGHA_01310	Uncharacterized protein YdgU	1
BHFGHA_01315	Uncharacterized serine protease YdgD	1
BHFGHA_01320	multidrug/spermidine efflux SMR transporter subunit MdtI	1
BHFGHA_01325	multidrug/spermidine efflux SMR transporter subunit MdtJ	1
BHFGHA_01330	Transporter	1
BHFGHA_01335	Prophage protein	1
BHFGHA_01340	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	1
BHFGHA_01345	phage terminase small subunit P27 family	1
BHFGHA_01350	5-methylcytosine-specific restriction endonuclease McrA	1
BHFGHA_01355	head-tail connector protein	1
BHFGHA_01360	head-tail connector protein	1
BHFGHA_01365	phage portal protein	1
BHFGHA_01370	HK97 family phage prohead protease	1
BHFGHA_01375	phage major capsid protein	1
BHFGHA_01380	PerC transcriptional activator	1
BHFGHA_01385	Single-stranded DNA-binding protein	1
BHFGHA_01390	Prophage protein	1
BHFGHA_01395	DNA primase, phage- or plasmid-associated	1
BHFGHA_01400	DUF4222 domain-containing protein	1
BHFGHA_01405	Prophage protein	1
BHFGHA_01410	Prophage protein	1
BHFGHA_01415	Prophage protein	1
BHFGHA_01420	Prophage protein	1
BHFGHA_01425	Prophage protein	1
BHFGHA_01430	Host cell division inhibitor Icd-like protein	1
BHFGHA_01435	Phage protein	1
BHFGHA_01440	DUF4102 domain-containing protein	1
BHFGHA_01445	putative PurR-regulated permease PerM	1
BHFGHA_01450	AI-2 transport protein TqsA	1
BHFGHA_01455	Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	1
BHFGHA_01460	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	1
BHFGHA_01465	DUF1471 domain-containing protein	1
BHFGHA_01470	Putative arginine/ornithine antiporter	1
BHFGHA_01475	dihydromonapterin reductase	1
BHFGHA_01480	Inner membrane protein YdgC	1
BHFGHA_01485	two-component system response regulator RstA	1
BHFGHA_01490	two-component system sensor histidine kinase RstB	1
BHFGHA_01495	DNA replication terminus site-binding protein	1
BHFGHA_01500	class II fumarate hydratase	1
BHFGHA_01505	class I fumarate hydratase	1
BHFGHA_01510	mannose-6-phosphate isomerase	1
BHFGHA_01515	Protein YdgA	1
BHFGHA_01520	glucuronide uptake porin UidC	1
BHFGHA_01525	glucuronide transporter	1
BHFGHA_01530	beta-glucuronidase	1
BHFGHA_01535	DNA-binding transcriptional regulator UidR	1
BHFGHA_01540	7-alpha-hydroxysteroid dehydrogenase	1
BHFGHA_01545	mal regulon transcriptional regulator MalI	1
BHFGHA_01550	PTS maltose transporter subunit IICB	1
BHFGHA_01555	bifunctional maltose regulon transcriptional repressor/cystathionine beta-lyase MalY	1
BHFGHA_01560	adenosine deaminase	1
BHFGHA_01565	Uncharacterized oxidoreductase YdgJ	1
BHFGHA_01570	transcription modulator YdgT	1
BHFGHA_01575	Inner membrane protein YdgK	1
BHFGHA_01580	electron transport complex subunit RsxA	1
BHFGHA_01585	electron transport complex subunit RsxB	1
BHFGHA_01590	electron transport complex subunit RsxC	1
BHFGHA_01595	electron transport complex subunit RsxD	1
BHFGHA_01600	electron transport complex subunit RsxG	1
BHFGHA_01605	electron transport complex subunit RsxE	1
BHFGHA_01610	endonuclease III	1
BHFGHA_01615	dipeptide/tripeptide permease DtpA	1
BHFGHA_01620	glutathione transferase GstA	1
BHFGHA_01625	pyridoxal kinase PdxY	1
BHFGHA_01630	tyrosine--tRNA ligase	1
BHFGHA_01635	pyridoxamine 5'-phosphate oxidase	1
BHFGHA_01640	C-type lysozyme inhibitor	1
BHFGHA_01645	anhydro-N-acetylmuramic acid kinase	1
BHFGHA_01650	outer membrane lipoprotein SlyB	1
BHFGHA_01655	transcriptional regulator SlyA	1
BHFGHA_01660	Uncharacterized protein YdhI	1
BHFGHA_01665	Uncharacterized protein YdhJ	1
BHFGHA_01670	Uncharacterized transporter YdhK	1
BHFGHA_01675	superoxide dismutase [Cu-Zn] SodC	1
BHFGHA_01680	aldo/keto reductase family oxidoreductase	1
BHFGHA_01685	Oxidoreductase	1
BHFGHA_01690	DNA-binding transcriptional regulator NemR	1
BHFGHA_01695	N-ethylmaleimide reductase	1
BHFGHA_01700	Lactoylglutathione lyase	1
BHFGHA_01705	ribonuclease T	1
BHFGHA_01710	monothiol glutaredoxin 4	1
BHFGHA_01715	peptidoglycan DD-endopeptidase MepH	1
BHFGHA_01720	superoxide dismutase [Fe]	1
BHFGHA_01725	Inner membrane transport protein YdhP	1
BHFGHA_01735	stress response protein YnhF	1
BHFGHA_01740	HTH-type transcriptional repressor PurR	1
BHFGHA_01745	DNA-binding transcriptional activator PunR	1
BHFGHA_01750	purine nucleoside transporter PunC	1
BHFGHA_01755	cyclopropane fatty acyl phospholipid synthase	1
BHFGHA_01760	riboflavin synthase	1
BHFGHA_01765	multidrug efflux MATE transporter MdtK	1
BHFGHA_01770	Uncharacterized protein YdhQ	1
BHFGHA_01790	monooxygenase	1
BHFGHA_01795	FAD-NAD(P)-binding protein	1
BHFGHA_01800	protein YdhT	1
BHFGHA_01805	thiosulfate reductase cytochrome B subunit	1
BHFGHA_01810	4Fe-4S binding protein	1
BHFGHA_01815	YdhW family putative oxidoreductase system protein	1
BHFGHA_01820	aldehyde ferredoxin oxidoreductase	1
BHFGHA_01825	ferredoxin-like protein	1
BHFGHA_01830	fumarate hydratase FumD	1
BHFGHA_01835	pyruvate kinase PykF	1
BHFGHA_01840	murein lipoprotein Lpp	1
BHFGHA_01845	L,D-transpeptidase LdtE	1
BHFGHA_01850	cysteine desulfuration protein SufE	1
BHFGHA_01855	cysteine desulfurase SufS	1
BHFGHA_01860	Fe-S cluster assembly protein SufD	1
BHFGHA_01865	Fe-S cluster assembly ATPase SufC	1
BHFGHA_01870	Fe-S cluster assembly protein SufB	1
BHFGHA_01875	Fe-S cluster assembly scaffold SufA	1
BHFGHA_01885	Uncharacterized protein YdiH	1
BHFGHA_01890	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	1
BHFGHA_01895	D-2-hydroxyglutarate dehydrogenase	1
BHFGHA_01900	AI-2E family transporter YdiK	1
BHFGHA_01910	Uncharacterized protein YdiL	1
BHFGHA_01915	Sugar phosphate permease	1
BHFGHA_01920	Inner membrane transport protein YdiN	1
BHFGHA_01925	quinate/shikimate dehydrogenase	1
BHFGHA_01930	3-dehydroquinate dehydratase	1
BHFGHA_01935	Acetate CoA-transferase YdiF	1
BHFGHA_01940	acyl-CoA dehydrogenase	1
BHFGHA_01945	Uncharacterized HTH-type transcriptional regulator YdiP	1
BHFGHA_01950	hypothetical protein	1
BHFGHA_01955	electron transfer flavoprotein	1
BHFGHA_01960	electron transfer flavoprotein subunit alpha	1
BHFGHA_01965	putative electron transfer flavoprotein-quinone oxidoreductase YdiS	1
BHFGHA_01970	Ferredoxin-like protein YdiT	1
BHFGHA_01975	medium-chain fatty-acid--CoA ligase	1
BHFGHA_01980	phosphoenolpyruvate synthase	1
BHFGHA_01985	posphoenolpyruvate synthetase regulatory kinase/phosphorylase PpsR	1
BHFGHA_01990	3-deoxy-7-phosphoheptulonate synthase AroH	1
BHFGHA_01995	Uncharacterized protein YdiE	1
BHFGHA_02000	protein adenylyltransferase SelO	1
BHFGHA_02005	anti-FlhDC factor	1
BHFGHA_02010	putative endopeptidase NlpC	1
BHFGHA_02015	vitamin B12 ABC transporter ATP-binding protein BtuD	1
BHFGHA_02020	bifunctional thioredoxin/glutathione peroxidase	1
BHFGHA_02025	vitamin B12 ABC transporter permease BtuC	1
BHFGHA_02035	integration host factor subunit alpha	1
BHFGHA_02040	phenylalanine--tRNA ligase subunit beta	1
BHFGHA_02045	phenylalanine--tRNA ligase subunit alpha	1
BHFGHA_02050	pheST operon leader peptide PheM	1
BHFGHA_02055	threonine--tRNA ligase	1
BHFGHA_02060	Large ribosomal subunit protein bL35	1
BHFGHA_02065	translation initiation factor IF-3	1
BHFGHA_02070	threonine--tRNA ligase	1
BHFGHA_02075	Ankyrin repeat protein B	1
BHFGHA_02080	small membrane protein YniD	1
BHFGHA_02085	Uncharacterized protein YdiY	1
BHFGHA_02090	6-phosphofructokinase II	1
BHFGHA_02095	Endoribonuclease GhoS	1
BHFGHA_02100	putative ketoamine kinase YniA	1
BHFGHA_02105	Uncharacterized protein YniB	1
BHFGHA_02110	hexitol phosphatase HxpB	1
BHFGHA_02115	metal-dependent hydrolase	1
BHFGHA_02120	cystine/sulfocysteine:cation symporter	1
BHFGHA_02125	cell division activator CedA	1
BHFGHA_02130	catalase HPII	1
BHFGHA_02135	chitin disaccharide deacetylase	1
BHFGHA_02140	6-phospho-beta-glucosidase	1
BHFGHA_02145	transcriptional regulator ChbR	1
BHFGHA_02150	PTS N,N'-diacetylchitobiose transporter subunit IIA	1
BHFGHA_02155	PTS N,N'-diacetylchitobiose transporter subunit IIC	1
BHFGHA_02160	PTS N,N'-diacetylchitobiose transporter subunit IIB	1
BHFGHA_02165	osmotically-inducible lipoprotein OsmE	1
BHFGHA_02170	ammonia-dependent NAD(+) synthetase	1
BHFGHA_02180	excinuclease Cho	1
BHFGHA_02185	environmental stress-induced protein Ves	1
BHFGHA_02190	ATP-independent periplasmic protein-refolding chaperone Spy	1
BHFGHA_02195	succinylglutamate desuccinylase	1
BHFGHA_02200	N-succinylarginine dihydrolase	1
BHFGHA_02205	succinylglutamate-semialdehyde dehydrogenase	1
BHFGHA_02210	arginine N-succinyltransferase	1
BHFGHA_02215	succinylornithine/acetylornithine transaminase	1
BHFGHA_02220	exodeoxyribonuclease III	1
BHFGHA_02225	TVP38/TMEM64 family membrane protein YdjX	1
BHFGHA_02230	Uncharacterized protein YdjY	1
BHFGHA_02235	TVP38/TMEM64 family inner membrane protein YdjZ	1
BHFGHA_02240	Uncharacterized protein YnjA	1
BHFGHA_02245	Protein YnjB	1
BHFGHA_02250	ABC-type uncharacterized transport system YnjBCD, permease component	1
BHFGHA_02255	Uncharacterized ABC transporter ATP-binding protein YnjD	1
BHFGHA_02260	thiosulfate sulfurtransferase YnjE	1
BHFGHA_02265	Inner membrane protein YnjF	1
BHFGHA_02270	CTP pyrophosphohydrolase	1
BHFGHA_02275	Uncharacterized protein YnjH	1
BHFGHA_02280	NADP-specific glutamate dehydrogenase	1
BHFGHA_02285	Putative chaperone protein	1
BHFGHA_02290	Molecular chaperone HscC	1
BHFGHA_02295	DNA topoisomerase III	1
BHFGHA_02300	selenide, water dikinase SelD	1
BHFGHA_02305	NAD(P)H nitroreductase	1
BHFGHA_02310	signal peptide peptidase SppA	1
BHFGHA_02315	asparaginase	1
BHFGHA_02320	bifunctional nicotinamidase/pyrazinamidase	1
BHFGHA_02325	Inner membrane metabolite transport protein YdjE	1
BHFGHA_02330	Uncharacterized HTH-type transcriptional regulator YdjF	1
BHFGHA_02335	NADH-dependent methylglyoxal reductase	1
BHFGHA_02340	Uncharacterized sugar kinase YdjH	1
BHFGHA_02345	Fructose/tagatose bisphosphate aldolase	1
BHFGHA_02350	Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjJ	1
BHFGHA_02355	Putative metabolite transport protein YdjK	1
BHFGHA_02360	Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjL	1
BHFGHA_02365	Uncharacterized protein YeaC	1
BHFGHA_02370	Peptide methionine sulfoxide reductase MsrB	1
BHFGHA_02375	glyceraldehyde-3-phosphate dehydrogenase	1
BHFGHA_02380	Putative glucose-6-phosphate 1-epimerase	1
BHFGHA_02385	methylglyoxal reductase YeaE	1
BHFGHA_02390	scaffolding protein MipA	1
BHFGHA_02395	protein kinase YeaG	1
BHFGHA_02400	UPF0229 protein Ent638_1670	1
BHFGHA_02410	IS200/IS605-like element IS200C family transposase	1
BHFGHA_02415	putative diguanylate cyclase CdgI	1
BHFGHA_02420	diguanylate cyclase DgcJ	1
BHFGHA_02425	mischarged aminoacyl-tRNA deacylase	1
BHFGHA_02430	UPF0756 membrane protein YeaL	1
BHFGHA_02435	DNA-binding transcriptional regulator NimR	1
BHFGHA_02440	2-nitroimidazole transporter	1
BHFGHA_02445	Uncharacterized protein YeaO	1
BHFGHA_02450	Transposase	1
BHFGHA_02455	DUF333 domain-containing protein	1
BHFGHA_02460	diguanylate cyclase DgcP	1
BHFGHA_02465	protein YoaJ	1
BHFGHA_02470	UPF0410 protein YeaQ	1
BHFGHA_02475	Protein YoaG	1
BHFGHA_02480	Uncharacterized protein YeaR	1
BHFGHA_02485	leucine efflux protein LeuE	1
BHFGHA_02490	ribonuclease D	1
BHFGHA_02500	long-chain-fatty-acid--CoA ligase FadD	1
BHFGHA_02505	Slp family lipoprotein YeaY	1
BHFGHA_02510	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	1
BHFGHA_02515	putative ATP-dependent DNA helicase YoaA	1
BHFGHA_02520	RutC family protein YoaB	1
BHFGHA_02525	DUF1889 domain-containing protein	1
BHFGHA_02530	YoaH family protein	1
BHFGHA_02535	aminodeoxychorismate synthase component 1	1
BHFGHA_02540	CoA pyrophosphatase	1
BHFGHA_02545	L-serine ammonia-lyase	1
BHFGHA_02550	putative cyclic di-GMP phosphodiesterase PdeD	1
BHFGHA_02555	CNNM family cation transport protein YoaE	1
BHFGHA_02560	Protein YoaL	1
BHFGHA_02565	PTS mannose transporter subunit IIAB	1
BHFGHA_02570	PTS mannose transporter subunit IIC	1
BHFGHA_02575	PTS mannose transporter subunit IID	1
BHFGHA_02580	UPF0266 membrane protein YobD	1
BHFGHA_02585	manganese efflux pump MntP	1
BHFGHA_02590	23S rRNA (guanine(745)-N(1))-methyltransferase	1
